"TauSxy","nut","alphas","alpha.water","TauFxy","rho","mum","k","psk","psf","p_rgh","alpha.sand","mup","CD","p","alpha.air","gamma","alphaSolInd","epsilon","gradAlphad:0","gradAlphad:1","gradAlphad:2","U:0","U:1","U:2","gradPsf:0","gradPsf:1","gradPsf:2","Wi:0","Wi:1","Wi:2","Wtd:0","Wtd:1","Wtd:2","Wsd:0","Wsd:1","Wsd:2","W:0","W:1","W:2","TauF:0","TauF:1","TauF:2","TauF:3","TauF:4","TauF:5","TauS:0","TauS:1","TauS:2","TauS:3","TauS:4","TauS:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.8207e-05,0.00014575,0.07935,0.96033,2.3815,1007.5,0.0011065,0.0068797,3.9824e-05,0,3.0077,0.039675,2.2572e-06,1.4192,-293.51,-8.8232e-09,1,1,0.029238,0,-5.7574,0,0.45423,7.6545e-07,0,0,0,0,-1.9774e-06,-0.050225,0,0,0.050332,0,0,6.7673e-07,0,-1.9774e-06,0.00010671,0,5.671e-06,-1.1342e-05,5.671e-06,2.3815,0,0,9.108e-11,-1.8216e-10,9.108e-11,3.8207e-05,0,0,1,0.030002,-0.00017,0.03,-0.00017
2.6877e-05,0.00015578,0.069688,0.96516,2.378,1006.6,0.0010927,0.0068985,2.8011e-05,0,2.7334,0.034844,1.7089e-06,1.3876,-303.39,-1.0294e-07,1,1,0.027501,0,-3.9238,0,0.47053,7.0817e-07,0,0,0,0,-1.9775e-06,-0.050922,0,0,0.051033,0,0,4.5241e-07,0,-1.9775e-06,0.00011175,0,5.4683e-06,-1.0937e-05,5.4683e-06,2.378,0,0,6.1844e-11,-1.2369e-10,6.1844e-11,2.6877e-05,0,0,1,0.031002,-0.0001615,0.031,-0.0001615
1.9358e-05,0.00016567,0.061606,0.9692,2.3723,1005.9,0.0010813,0.0069062,2.0171e-05,0,2.4963,0.030803,1.3166e-06,1.3618,-313.26,-2.8235e-07,1,1,0.025918,-9.5076e-16,-2.669,0,0.4857,6.5679e-07,0,0,0,0,-1.9754e-06,-0.051508,0,-1.4524e-18,0.051625,0,6.7603e-22,3.1006e-07,0,-1.9754e-06,0.00011668,0,5.2622e-06,-1.0524e-05,5.2622e-06,2.3723,0,0,4.2979e-11,-8.5958e-11,4.2979e-11,1.9358e-05,0,0,1,0.032002,-0.000153,0.032,-0.000153
1.4165e-05,0.00017543,0.054745,0.97263,2.3646,1005.2,0.0010718,0.0069053,1.4759e-05,0,2.2886,0.027372,1.0267e-06,1.3404,-323.12,-8.8246e-09,1,1,0.024469,-1.0102e-15,-1.8052,0,0.49992,6.1034e-07,0,0,0,0,-1.9713e-06,-0.052009,0,8.0046e-18,0.052131,0,3.5316e-22,2.1599e-07,0,-1.9713e-06,0.0001215,0,5.0578e-06,-1.0116e-05,5.0578e-06,2.3646,0,0,3.0327e-11,-6.0655e-11,3.0327e-11,1.4165e-05,0,0,1,0.033002,-0.0001445,0.033,-0.0001445
1.0503e-05,0.00018504,0.04887,0.97557,2.3552,1004.6,0.0010638,0.0068973,1.0943e-05,0,2.1054,0.024435,8.0902e-07,1.3224,-332.98,-6.8821e-22,1,1,0.023141,-3.3673e-16,-1.2132,0,0.5133,5.6813e-07,0,0,0,0,-1.9646e-06,-0.052441,0,1.7676e-17,0.052567,0,2.9107e-22,1.525e-07,0,-1.9646e-06,0.00012622,0,4.8588e-06,-9.7175e-06,4.8588e-06,2.3552,0,0,2.1677e-11,-4.3353e-11,2.1677e-11,1.0503e-05,0,0,1,0.034002,-0.000136,0.034,-0.000136
7.9295e-06,0.00019449,0.043856,0.97807,2.3446,1004.2,0.001057,0.0068831,8.2616e-06,0,1.9442,0.021928,6.4601e-07,1.3073,-342.84,-4.7059e-08,1,1,0.021929,-1.6837e-16,-0.81897,0,0.52589,5.2988e-07,0,0,0,0,-1.956e-06,-0.05281,0,-2.5611e-17,0.052941,0,0,1.0991e-07,0,-1.956e-06,0.00013084,0,4.6661e-06,-9.3322e-06,4.6661e-06,2.3446,0,0,1.5794e-11,-3.1587e-11,1.5794e-11,7.9295e-06,0,0,1,0.035003,-0.0001275,0.035,-0.0001275
6.0505e-06,0.00020378,0.039506,0.98025,2.3331,1003.8,0.0010511,0.0068641,6.3035e-06,0,1.8004,0.019753,5.2011e-07,1.2944,-352.68,1.4412e-07,1,1,0.020813,-1.1885e-16,-0.55032,0,0.53783,4.9487e-07,0,0,0,0,-1.9454e-06,-0.053132,0,-3.8382e-17,0.053268,0,2.3902e-22,8.0117e-08,0,-1.9454e-06,0.00013532,0,4.4811e-06,-8.9622e-06,4.4811e-06,2.3331,0,0,1.163e-11,-2.326e-11,1.163e-11,6.0505e-06,0,0,1,0.036003,-0.000119,0.036,-0.000119
4.6651e-06,0.0002129,0.035718,0.98214,2.3205,1003.4,0.0010461,0.0068409,4.8601e-06,0,1.6717,0.017859,4.2214e-07,1.2833,-362.53,-1.0882e-07,1,1,0.019786,-1.6837e-16,-0.36869,0,0.54916,4.6276e-07,0,0,0,0,-1.9331e-06,-0.053414,0,-5.8343e-18,0.053553,0,1.4293e-22,5.9073e-08,0,-1.9331e-06,0.00013965,0,4.3043e-06,-8.6087e-06,4.3043e-06,2.3205,0,0,8.6574e-12,-1.7315e-11,8.6574e-12,4.6651e-06,0,0,1,0.037003,-0.0001105,0.037,-0.0001105
3.6429e-06,0.00022185,0.032421,0.98379,2.3072,1003.1,0.0010417,0.0068141,3.7952e-06,0,1.5565,0.01621,3.4588e-07,1.2737,-372.37,-1.5882e-07,1,1,0.01884,-1.7332e-17,-0.2481,0,0.55993,4.3332e-07,0,0,0,0,-1.9199e-06,-0.053659,0,2.003e-17,0.053803,0,6.9166e-23,4.4209e-08,0,-1.9199e-06,0.00014379,0,4.1358e-06,-8.2717e-06,4.1358e-06,2.3072,0,0,6.5348e-12,-1.307e-11,6.5348e-12,3.6429e-06,0,0,1,0.038003,-0.000102,0.038,-0.000102
2.8674e-06,0.00023063,0.029515,0.98524,2.2934,1002.8,0.0010379,0.0067843,2.9871e-06,0,1.4523,0.014758,2.8514e-07,1.2653,-382.21,8.8236e-08,1,1,0.017964,-9.9037e-18,-0.16631,0,0.57022,4.0612e-07,0,0,0,0,-1.9064e-06,-0.053876,0,1.1446e-17,0.054024,0,3.9523e-23,3.3377e-08,0,-1.9064e-06,0.00014777,0,3.9753e-06,-7.9507e-06,3.9753e-06,2.2934,0,0,4.9732e-12,-9.9465e-12,4.9732e-12,2.8674e-06,0,0,1,0.039003,-9.35e-05,0.039,-9.35e-05
2.2764e-06,0.00023924,0.02695,0.98653,2.2791,1002.6,0.0010345,0.0067519,2.3714e-06,0,1.3579,0.013475,2.3662e-07,1.258,-392.05,-1.5e-07,1,1,0.017152,-2.3522e-17,-0.1114,0,0.58005,3.8096e-07,0,0,0,0,-1.8932e-06,-0.054068,0,6.6637e-18,0.05422,0,8.2577e-23,2.545e-08,0,-1.8932e-06,0.00015158,0,3.8224e-06,-7.6447e-06,3.8224e-06,2.2791,0,0,3.8196e-12,-7.6393e-12,3.8196e-12,2.2764e-06,0,0,1,0.040003,-8.5e-05,0.04,-8.5e-05
